contig	genus
NODE_1_length_347498_cov_10.049651	Asteriusvirus
NODE_2_length_251026_cov_16.001670	Takahashivirus
NODE_3_length_197358_cov_7.058109	Haifavirus
NODE_4_length_177599_cov_5.512566	Kanagawavirus
NODE_5_length_163045_cov_5.628020	Gualtarvirus
NODE_6_length_146480_cov_7.459505	Sepunavirus
NODE_8_length_136595_cov_14.052175	Alcyoneusvirus
NODE_9_length_125361_cov_4.923818	Charybdisvirus
NODE_11_length_122960_cov_4.790342	Silviavirus
NODE_14_length_107127_cov_4.004053	Schizotequatrovirus
NODE_15_length_106028_cov_5.325026	Mosugukvirus
NODE_16_length_101665_cov_3.671007	Agatevirus
NODE_17_length_99204_cov_4.423988	Neptunevirus
NODE_18_length_94175_cov_5.064227	Audreyjarvisvirus
NODE_19_length_93524_cov_6.957205	Bristolvirus
NODE_20_length_80501_cov_3.868682	Matervirus
NODE_21_length_70076_cov_6.165865	Bragavirus
NODE_22_length_67816_cov_3.686058	Shandongvirus
NODE_23_length_66572_cov_13.943097	Alcyoneusvirus
NODE_24_length_66559_cov_7.606249	Fletchervirus
NODE_25_length_64312_cov_4.664581	Kanaloavirus
NODE_26_length_64185_cov_5.386995	Mosugukvirus
NODE_27_length_63934_cov_3.633620	Shandongvirus
NODE_28_length_58812_cov_4.084262	Schizotequatrovirus
NODE_30_length_53194_cov_3.830219	Emdodecavirus
NODE_32_length_48668_cov_7.482896	Fletchervirus
NODE_33_length_48193_cov_14.033757	Alcyoneusvirus
NODE_34_length_47598_cov_6.394737	Bragavirus
NODE_35_length_45347_cov_3.632982	Agatevirus
NODE_36_length_44148_cov_6.094119	Bragavirus
NODE_37_length_42237_cov_3.932981	Saclayvirus
NODE_38_length_41067_cov_3.577368	Tegunavirus
NODE_39_length_40802_cov_5.390900	Kochikohdavirus
NODE_40_length_40465_cov_4.146622	Schizotequatrovirus
NODE_41_length_39900_cov_5.458928	Kochikohdavirus
NODE_42_length_39821_cov_3.333602	Eldridgevirus
NODE_43_length_39411_cov_4.802749	Kanaloavirus
NODE_45_length_38535_cov_4.217282	Nereusvirus
NODE_46_length_38243_cov_3.589897	Siminovitchvirus
NODE_47_length_38146_cov_5.003623	Audreyjarvisvirus
NODE_48_length_37955_cov_13.907678	Alcyoneusvirus
NODE_49_length_37811_cov_3.518726	Moonbeamvirus
NODE_50_length_37470_cov_3.741467	Eldridgevirus
NODE_51_length_36423_cov_3.992108	Saclayvirus
NODE_52_length_36403_cov_3.713987	Tegunavirus
NODE_53_length_35613_cov_3.554840	Mydovirus
NODE_54_length_35494_cov_6.923361	Bequatrovirus
NODE_55_length_34272_cov_3.102171	Nitunavirus
NODE_56_length_34248_cov_3.295470	Mazuvirus
NODE_58_length_33624_cov_3.622509	Mydovirus
NODE_59_length_33176_cov_3.445095	Mydovirus
NODE_60_length_33099_cov_3.588064	Emdodecavirus
NODE_61_length_32519_cov_4.875678	Charybdisvirus
NODE_62_length_32352_cov_8.649348	Fipvunavirus
NODE_63_length_32008_cov_2.736269	Thornevirus
NODE_64_length_31909_cov_3.368557	Mazuvirus
NODE_65_length_31906_cov_3.250196	Mazuvirus
NODE_66_length_31686_cov_3.370206	Hopescreekvirus
NODE_67_length_31397_cov_4.352945	Bequatrovirus
NODE_68_length_31318_cov_2.833221	Wellingtonvirus
NODE_69_length_31104_cov_5.147026	Charybdisvirus
NODE_70_length_30802_cov_4.977721	Matervirus
NODE_71_length_30756_cov_3.552555	Emdodecavirus
NODE_72_length_30293_cov_8.008929	Kayvirus
NODE_74_length_29627_cov_3.085148	Mazuvirus
NODE_75_length_29533_cov_3.352670	Mosigvirus
NODE_76_length_28718_cov_3.942434	Emdodecavirus
NODE_78_length_28317_cov_2.933975	Nitunavirus
