	GPD_id	Source	GPD_VC	Size	Predicted_phage_taxon	Host_range_isolates	Host_range_taxon	Metagenomic_runs_detected	Continents_detected	Countries_detected	checkV_MIUViG	checkV_completion	checkV_viral_region	checkV_host_region	checkV_prophage	checkV_termini	Novel
2	ivig_3	Isolate	17902	19198	Siphoviridae	GCA_003433665	Proteobacteria/Gammaproteobacteria/Enterobacterales/Enterobacteriaceae/Enterobacter/Enterobacter xiangfangensis	-1	-1	-1	Genome-fragment	23.63	5674-19198	1-5673	Yes	No	Yes
4	ivig_7	Isolate	40827	43234	Siphoviridae	GCA_003433685,GCA_003434265	Firmicutes/Bacilli/Lactobacillales/Streptococcaceae/Streptococcus/Streptococcus pasteurianus,Firmicutes/Bacilli/Lactobacillales/Streptococcaceae/Streptococcus/Streptococcus pasteurianus	-1	-1	-1	High-quality	98.57	1-43234	-1	No	No	Yes
11	ivig_16	Isolate	40810	40323	Siphoviridae	GCA_003433855,20287_6#25,21673_4#18	Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Coprococcus_A/Coprococcus_A catus,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Coprococcus_A/Coprococcus_A catus,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Coprococcus_A/Coprococcus_A catus	-1	-1	-1	High-quality	100.0	1-40323	-1	No	No	Yes
29	ivig_49	Isolate	17911	22205	Siphoviridae	GCA_003434265	Firmicutes/Bacilli/Lactobacillales/Streptococcaceae/Streptococcus/Streptococcus pasteurianus	ERR589857,ERR1190779,ERR1578671,ERR2013618	Asia,Asia,Asia,Asia	China,China,China,China	Genome-fragment	53.86	1-22205	-1	No	No	Yes
37	ivig_67	Isolate	4219	31977	Myoviridae	GCA_003434465	Proteobacteria/Gammaproteobacteria/Enterobacterales/Enterobacteriaceae/Enterobacter/Enterobacter kobei	-1	-1	-1	High-quality	99.82	1-31977	-1	No	No	No
38	ivig_68	Isolate	40824	47349	Siphoviridae	GCA_003434465	Proteobacteria/Gammaproteobacteria/Enterobacterales/Enterobacteriaceae/Enterobacter/Enterobacter kobei	-1	-1	-1	High-quality	95.51	1-47349	-1	No	No	Yes
39	ivig_69	Isolate	17905	26158	Siphoviridae	GCA_003434465	Proteobacteria/Gammaproteobacteria/Enterobacterales/Enterobacteriaceae/Enterobacter/Enterobacter kobei	-1	-1	-1	Genome-fragment	57.25	1-26158	-1	No	No	Yes
52	ivig_88	Isolate	90	46940	Myoviridae	GCA_003434755	Firmicutes/Clostridia/Oscillospirales/Butyricicoccaceae/Agathobaculum/Agathobaculum sp1	-1	-1	-1	High-quality	98.96	1-46940	-1	No	No	No
70	ivig_118	Isolate	2298	21605	Siphoviridae	GCA_003435295	Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Sellimonas/Sellimonas intestinalis	ERR1578686,ERR1578670,SRR4305490,SRR4408004,SRR4305481,SRR4408232,SRR4408187,ERR414317	Asia,Asia,Europe,Europe,Europe,Europe,Europe,Europe	China,China,Russia,Russia,Russia,Russia,Finland,Denmark	Genome-fragment	54.3	1-21605	-1	No	No	No
82	ivig_130	Isolate	40	49764	Myoviridae	GCA_003435455	Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/CAG-81/CAG-81 sp1	ERR589858,ERR589837,ERR1190756	Asia,Asia,Asia	China,China,China	High-quality	100.0	1-49764	-1	No	No	No
